False: Execution aborted by timeout\ntime=1698857990.609774 gym-duckietown 2019.0.0

time=1698857990.765369 Registering gym environment id: Duckietown-4way-v0
time=1698857990.7654562 Registering gym environment id: Duckietown-ado_map_1-v0
time=1698857990.765495 Registering gym environment id: Duckietown-ado_map_2-v0
time=1698857990.7655632 Registering gym environment id: Duckietown-loop_dyn_duckiebots-v0
time=1698857990.765646 Registering gym environment id: Duckietown-loop_empty-v0
time=1698857990.7656891 Registering gym environment id: Duckietown-loop_obstacles-v0
time=1698857990.7657578 Registering gym environment id: Duckietown-loop_one_duckie-v0
time=1698857990.7658072 Registering gym environment id: Duckietown-loop_only_duckies-v0
time=1698857990.765853 Registering gym environment id: Duckietown-loop_pedestrians-v0
time=1698857990.7658987 Registering gym environment id: Duckietown-small_loop-v0
time=1698857990.7659461 Registering gym environment id: Duckietown-small_loop_cw-v0
time=1698857990.7659929 Registering gym environment id: Duckietown-straight_road-v0
time=1698857990.766041 Registering gym environment id: Duckietown-straight_road_10_tiles_no_start_tile-v0
time=1698857990.7660892 Registering gym environment id: Duckietown-straight_road_no_start_tile-v0
time=1698857990.7661355 Registering gym environment id: Duckietown-straight_road_trafficlight-v0
time=1698857990.7661827 Registering gym environment id: Duckietown-straight_road_with_side_floor-v0
time=1698857990.766231 Registering gym environment id: Duckietown-udem1-v0
time=1698857990.766277 Registering gym environment id: Duckietown-zigzag_dists-v0
time=1698857992.183283 Falling back to non-multisampled frame buffer
time=1698857992.185715 Falling back to non-multisampled frame buffer
time=1698857992.1881769 loading map file "/home/appuser/aido-auto/gym-duckietown/gym_duckietown/maps/loop_one_duckie.yaml"
time=1698857992.1963801 loading mesh "duckiebot.obj"
time=1698857992.1965199 loading materials from "/home/appuser/aido-auto/gym-duckietown/gym_duckietown/meshes/duckiebot.mtl"
time=1698857992.472321 loading mesh "duckie.obj"
time=1698857992.5047965 loading texture "duckie.png"
time=1698857992.8203838 loading texture "floor_1.png"
time=1698857992.896468 loading texture "curve_left_1.png"
time=1698857992.902248 loading texture "straight_1.png"
time=1698857992.9101253 loading texture "curve_right_1.png"
time=1698857992.9177525 using user tile start: (1, 1)
time=1698857992.9182975 tile: {'coords': (1, 1), 'kind': 'curve_left', 'angle': 3, 'drivable': True, 'curves': array([[[1.17  , 0.    , 0.7605],
        [0.8775, 0.    , 0.7605],
TARG: {'angle': -2.345, 'dist': 0.617}
STEP: [0.8, 0]
TARG: {'angle': -2.343, 'dist': 0.58}
STEP: [0.8, 0]
TARG: {'angle': -2.343, 'dist': 0.543}
STEP: [0.8, 0]
TARG: {'angle': -2.344, 'dist': 0.506}
STEP: [0.8, 0]
TARG: {'angle': -2.346, 'dist': 0.47}
STEP: [0.8, 0]
TARG: {'angle': -2.35, 'dist': 0.433}
STEP: [0.8, 0]
TARG: {'angle': -2.356, 'dist': 0.396}
STEP: [0.8, 0]
TARG: {'angle': -2.365, 'dist': 0.359}
STEP: [0.8, 0]
TARG: {'angle': -2.377, 'dist': 0.323}time=1698858008.0148375 Pos: [2.91545341 0.         2.67697891] angle 3.2235896053756212
time=1698858008.0680857 Pos: [2.90616219 0.         2.67767714] angle 3.2096133649842864
time=1698858008.122539 Pos: [2.89686212 0.         2.67824545] angle 3.1956371245929516
time=1698858008.176615 Pos: [2.88755501 0.         2.67868374] angle 3.1816608842016167
time=1698858008.230359 Pos: [2.87824269 0.         2.6789919 ] angle 3.167684643810282
time=1698858008.2843223 Pos: [2.86892698 0.         2.67916989] angle 3.153708403418947
time=1698858008.3411582 Pos: [2.85960968 0.         2.67921766] angle 3.1397321630276123
time=1698858008.393628 Pos: [2.85029263 0.         2.67913522] angle 3.1257559226362774
time=1698858008.4471214 Pos: [2.84097764 0.         2.67892257] angle 3.1117796822449426
time=1698858008.50069 Pos: [2.83166653 0.         2.67857976] angle 3.097803441853608
time=1698858008.5533068 Pos: [2.82236112 0.         2.67810685] angle 3.083827201462273
time=1698858008.605989 Pos: [2.81306323 0.         2.67750393] angle 3.069850961070938
time=1698858008.6586714 Pos: [2.80377467 0.         2.67677113] angle 3.0558747206796033
time=1698858008.7109008 Pos: [2.79449727 0.         2.67590859] angle 3.0418984802882685
time=1698858008.7635782 Pos: [2.78523282 0.         2.67491647] angle 3.0279222398969337
time=1698858008.8164473 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858008.8699048 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858008.919774 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858008.9712079 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.0212069 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.0749967 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.131603 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.1852596 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.2343445 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.2854714 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.3348615 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.385785 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.4350846 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.4837048 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.5344393 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.5840528 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.6363251 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.7091718 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.759732 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.8094141 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.8593798 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.9099712 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858009.960289 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.0113046 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.0608287 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.112663 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.162905 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.2148461 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.2639444 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.3197973 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.3697371 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.4199464 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.4700134 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.5219882 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.5740724 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.62831 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.6776435 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.7293437 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.778246 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.8272238 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.8776016 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.9313552 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858010.9819794 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.0325067 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.0839605 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.13497 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.1854525 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.236068 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.2854557 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.3396041 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.3924446 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.4416883 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.4912105 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.5436833 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.5936053 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.643775 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.6996276 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.7493396 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.7994955 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.8491392 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.898807 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858011.94869 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.0235653 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.0740104 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.1234293 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.1758478 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.2290542 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.279061 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.3348136 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.3844507 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.4334993 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.4819334 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.531038 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.5814044 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.6339202 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.6836202 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.736167 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.788726 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.838816 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.8893259 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.9403257 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858012.9932692 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.0456016 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.1020224 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.1562147 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.206435 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.2560546 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.3052523 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.3556228 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.407387 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.457827 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.5086944 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.5584364 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.6093185 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.6634412 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.713065 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.7633069 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.813247 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.8632042 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.914618 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858013.9646142 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.019009 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.0693595 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.1208 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.170451 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.2205997 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.2693021 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.3195903 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.36898 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.4195652 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.4692447 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.5199225 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.5710993 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.6285741 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.679575 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.729842 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.7800112 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.8294597 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.8788946 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.931102 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858014.9809759 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.0335386 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.0846217 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.1356628 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.1857364 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.2382023 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.2890058 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.3393192 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.3945644 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.4452374 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.4946804 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.5449107 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.5947292 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.6462379 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.6964967 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.751139 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.8003955 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.8515224 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.90142 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.9507544 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858015.9995024 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599

STEP: [0.8, 0]
TARG: {'angle': -2.395, 'dist': 0.286}
STEP: [0.2, -0.3]
TARG: {'angle': -2.472, 'dist': 0.277}
STEP: [0.2, -0.3]
TARG: {'angle': -2.478, 'dist': 0.268}
STEP: [0.2, -0.3]
TARG: {'angle': -2.484, 'dist': 0.259}
STEP: [0.2, -0.3]
TARG: {'angle': -2.49, 'dist': 0.25}
STEP: [0.2, -0.3]
TARG: {'angle': -2.496, 'dist': 0.241}
STEP: [0.2, -0.3]
TARG: {'angle': -2.502, 'dist': 0.232}
STEP: [0.2, -0.3]
TARG: {'angle': -2.509, 'dist': 0.223}
STEP: [0.2, -0.3]
TARG: {'angle': -2.515, 'dist': 0.214}
STEP: [0.2, -0.3]
TARG: {'angle': -2.522, 'dist': 0.204}
STEP: [0.2, -0.3]
TARG: {'angle': -2.529, 'dist': 0.195}
STEP: [0.2, -0.3]
TARG: {'angle': -2.535, 'dist': 0.186}
STEP: [0.2, -0.3]
TARG: {'angle': -2.542, 'dist': 0.177}
STEP: [0.2, -0.3]
TARG: {'angle': -2.55, 'dist': 0.168}
STEP: [0.2, -0.3]
TARG: {'angle': -2.557, 'dist': 0.159}
STEP: [0.2, -0.3]
TARG: {'angle': -2.565, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: [0, 0]
TARG: {'angle': -2.655, 'dist': 0.149}
STEP: time=1698858016.049497 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858016.1045616 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858016.153978 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858016.204684 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858016.2592626 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
time=1698858016.3088021 Pos: [2.77598314 0.         2.67379497] angle 3.013945999505599
